LAMMPS data file for TIP4P water with explicit M-site

768 atoms
512 bonds
256 angles

2 atom types
1 bond types
1 angle types

0.00000 15.64568 xlo xhi
0.00000 14.70715 ylo yhi
0.00000 38.07304 zlo zhi

Masses

1 15.99900
2 1.00800

Atoms

1 1 1 -1.11280 1.82010 1.87493 0.31290
2 1 2 0.55640 1.04289 2.01817 0.84763
3 1 2 0.55640 1.95331 2.70691 -0.19619
4 2 1 -1.11280 2.71966 6.60038 3.74224
5 2 2 0.55640 1.86431 7.01558 3.82271
6 2 2 0.55640 2.72586 6.23406 2.86118
7 3 1 -1.11280 4.67245 3.92034 1.51430
8 3 2 0.55640 4.11573 3.85524 2.28651
9 3 2 0.55640 4.07009 4.11764 0.80105
10 4 1 -1.11280 7.30473 4.07373 0.93818
11 4 2 0.55640 6.53283 3.84813 1.45178
12 4 2 0.55640 7.19835 3.59113 0.12190
13 5 1 -1.11280 2.75312 3.57316 3.54571
14 5 2 0.55640 3.21645 3.41016 4.36378
15 5 2 0.55640 2.08626 4.21686 3.77262
16 6 1 -1.11280 6.27666 2.96655 3.59838
17 6 2 0.55640 5.77086 2.79366 2.80798
18 6 2 0.55640 5.62106 3.15634 4.26528
19 7 1 -1.11280 1.99954 5.75385 1.08138
20 7 2 0.55640 1.13048 5.40055 1.25568
21 7 2 0.55640 1.84591 6.66980 0.86240
22 8 1 -1.11280 7.68897 2.69473 7.16034
23 8 2 0.55640 7.78094 3.31553 6.44163
24 8 2 0.55640 7.69192 1.83864 6.73882
25 9 1 -1.11280 4.48425 3.16383 5.71734
26 9 2 0.55640 4.04587 3.59541 6.44674
27 9 2 0.55640 4.15162 2.26963 5.73354
28 10 1 -1.11280 6.26829 6.30368 2.51434
29 10 2 0.55640 5.64520 6.92784 2.15011
30 10 2 0.55640 6.18555 5.53167 1.95968
31 11 1 -1.11280 4.29102 0.97607 1.76158
32 11 2 0.55640 3.84782 1.11328 0.92781
33 11 2 0.55640 3.75557 1.44497 2.39718
34 12 1 -1.11280 3.31068 4.56953 7.99388
35 12 2 0.55640 2.67058 5.13203 8.42318
36 12 2 0.55640 4.08008 5.12313 7.88408
37 13 1 -1.11280 7.46854 5.00718 5.42006
38 13 2 0.55640 7.21928 4.46097 4.67843
39 13 2 0.55640 7.72075 5.84042 5.02942
40 14 1 -1.11280 5.71969 6.16771 7.86879
41 14 2 0.55640 6.19628 5.99305 7.06080
42 14 2 0.55640 5.08312 6.83760 7.63103
43 15 1 -1.11280 4.38865 7.72971 5.69170
44 15 2 0.55640 5.19370 7.44237 5.26764
45 15 2 0.55640 3.69418 7.27991 5.21641
46 16 1 -1.11280 7.96796 7.65151 4.14428
47 16 2 0.55640 7.41446 7.28404 3.45938
48 16 2 0.55640 7.86426 8.59582 4.05478
49 17 1 -1.11280 1.82010 1.87493 9.34942
50 17 2 0.55640 1.04289 2.01817 9.88415
51 17 2 0.55640 1.95331 2.70691 8.84033
52 18 1 -1.11280 2.71966 6.60038 12.77876
53 18 2 0.55640 1.86431 7.01558 12.85923
54 18 2 0.55640 2.72586 6.23406 11.89770
55 19 1 -1.11280 4.67245 3.92034 10.55082
56 19 2 0.55640 4.11573 3.85524 11.32303
57 19 2 0.55640 4.07009 4.11764 9.83757
58 20 1 -1.11280 7.30473 4.07373 9.97470
59 20 2 0.55640 6.53283 3.84813 10.48830
60 20 2 0.55640 7.19835 3.59113 9.15842
61 21 1 -1.11280 2.75312 3.57316 12.58223
62 21 2 0.55640 3.21645 3.41016 13.40030
63 21 2 0.55640 2.08626 4.21686 12.80914
64 22 1 -1.11280 6.27666 2.96655 12.63490
65 22 2 0.55640 5.77086 2.79366 11.84450
